human_file,gpt_file,paper_title
pca_manifest_satterlee_2023.xlsx,Satterlee et al. 2023 - A Wox3-patterning module organizes planar growth in grass leaves and ligules.xlsx,A Wox3-patterning module organizes planar growth in grass leaves and ligules
pca_manifest_guillotin_2023.xlsx,Guillotin et al. 2023 - A pan-grass transcriptome reveals patterns of cellular divergence in crops.xlsx,A pan-grass transcriptome reveals patterns of cellular divergence in crops
pca_manifest_nobori_2025.xlsx,Nobori et al. 2025 - A rare PRIMER cell state in plant immunity.xlsx,A rare PRIMER cell state in plant immunity
pca_manifest_zong_2022.xlsx,Zong et al. 2022 - A rice single cell transcriptomic atlas defines the developmental trajectories of rice floret and inflorescence meristems.xlsx,A rice single cell transcriptomic atlas defines the developmental trajectories of rice flo
pca_manifest_guo_2025.xlsx,Guo et al. 2025 - An Arabidopsis single-nucleus atlas decodes leaf senescence and nutrient allocation.xlsx,An Arabidopsis single-nucleus atlas decodes leaf senescence and nutrient allocation
Roszak et al. 2021 - Cell-by-cell dissection of phloem development links a maturation gradient to cell specialization_FG.xlsx,Roszak et al. 2021 - Cell-by-cell dissection of phloem development links a maturation gradient to cell specialization.xlsx,Cell-by-cell dissection of phloem development links a maturation gradient to cell speciali
pca_manifest_Feng_2025.xlsx,Feng et al. 2022 - Chromatin accessibility illuminates single-cell regulatory dynamics of rice root tips.xlsx,Chromatin accessibility illuminates single-cell regulatory dynamics of rice root tips
Jean-Baptiste et al. 2019 - Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana.xlsx,Jean-Baptiste et al. 2019 - Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana.xlsx,Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana
pca_manifest_Bezrutczyk_2021.xlsx,Bezrutczyk et al. 2021 - Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves.xlsx,Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves
pca_manifest_yan_2024.xlsx,Yan et al. 2024 - Evolution of plant cell-type-specificcis-regulatory elements.xlsx,Evolution of plant cell-type-specific cis-regulatory elements
Kao et al. 2021 - Gene expression variation in Arabidopsis embryos at single-nucleus resolution.xlsx,Kao et al. 2021 - Gene expression variation in Arabidopsis embryos at single-nucleus resolution.xlsx,Gene expression variation in Arabidopsis embryos at single-nucleus resolution
pca_manifest_liu_2022.xlsx,Liu et al. 2022 - Identification of novel regulators required for early ... pment of vein pattern in the cotyledons by single-cell RNA-sequencing.xlsx,Identification of novel regulators required for early development of vein pattern in the c
pca_manifest_mendieta_2024.xlsx,Mendieta et al. 2024 - Investigating the cis-regulatory basis of C3 and C4 photosynthesis in grasses at single-cell resolution.xlsx,Investigating the cis-regulatory basis of C3 and C4 photosynthesis in grasses at single ce
pca_manifest_Turco_2019.xlsx,Turco et al. 2019 - Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation.xlsx,Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation
pca_manifest_vukasinovic_2025.xlsx,Vukašinović et al. 2025 - Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells.xlsx,Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating
pca_manifest_Sun_2025.xlsx,Sun et al. 2024 - Progressive meristem and single-cell transcriptomes re ... ms underlying maize inflorescence development and sex differentiation.xlsx,Progressive meristem and single-cell transcriptomes reveal the regulatory mechanisms under
pca_manifest_Xu_2021_final.xlsx,Xu et al. 2021 - Single-cell RNA sequencing of developing maize ears facilitates functional analysis and trait candidate gene discovery.xlsx,Single-cell RNA sequencing of developing maize ears facilitates functional analysis and tr
pca_manifest_cao_2023.xlsx,Cao et al. 2023 - Single-cell RNA sequencing profiles reveal cell type-s ... ional regulation networks conditioning fungal invasion in maize roots.xlsx,Single-cell RNA sequencing profiles reveal cell typespecific transcriptional regulation ne
Wang et al. 2021 - Single-cell-type transcriptomic analysis reveals dist ... expression profiles in wheat guard cells in response to abscisic acid_FG.xlsx,Wang et al. 2021 - Single-cell-type transcriptomic analysis reveals dist ... expression profiles in wheat guard cells in response to abscisic acid.xlsx,Single-cell-type transcriptomic analysis reveals distinct gene expression profiles in whea
pca_manifest_conde_2022.xlsx,Conde et al. 2022 - Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in Populus.xlsx,Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in 
Denyer et al. 2019 - Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing_FG.xlsx,Denyer et al. 2019 - Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing.xlsx,Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Thro
pca_manifest_lyu_2025.xlsx,Lyu et al. 2025 - The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondary growth.xlsx,The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondar
pca_manifest_marchant_2025.xlsx,Marchant and Walbot 2025 - The establishment of the anther somatic niche with single-cell sequencing.xlsx,The establishment of the anther somatic niche with single-cell sequencing
pca_manifest_marand_2025.xlsx,Marand et al. 2025 - The genetic architecture of cell type-specific cis regulation in maize.xlsx,The genetic architecture of cell type–specific cis regulation in maize
pca_manifest_dorrity_2020.xlsx,Dorrity et al. 2021 - The regulatory landscape of Arabidopsis thaliana roots at single-cell resolution.xlsx,The regulatory landscape of Arabidopsis thaliana roots at single-1 cell resolution
Misra et al. 2019 - Transcriptomics of Arabidopsis sperm cells at single-cell resolution_FG.xlsx,Misra et al. 2019 - Transcriptomics of Arabidopsis sperm cells at single-cell resolution.xlsx,Transcriptomics of Arabidopsis sperm cells at single-cell resolution
