paper,sheet,column,reference_value,test_value,verdict,note,decided_by,decided_on
A Wox3-patterning module organizes planar growth in grass leaves and ligules,sample,tissue,shoot apical mersitem,"Shoot apex, including the shoot apical meristem, six to seven youngest leaf primordia, and associated stem tissue",both,"Human names only the SAM; the methods say the material was the shoot apex plus the six youngest leaf primordia and associated stem tissue, so the human value denotes a smaller thing than was sampled. Accepted as both because the SAM is genuinely part of the sampled tissue. Human value also contains a typo ('mersitem').",felix.shaw@earlham.ac.uk,2026-09-09
A pan-grass transcriptome reveals patterns of cellular divergence in crops,dissociation,dissociation_description,Enzyme-based protoplast dissociation,"Arabidopsis root tips were incubated in an enzyme solution containing 8% mannitol (400 mM), 20 mM MES, 20 mM KCl, 40 mM CaCl2, 100 µg ml−1 BSA, 1.2% cellulase Onozuka R10 and 0.4% macerozyme R-10 at pH 5.8. Released protoplasts were filtered through a 20-µm cell strainer, centrifuged for 3 min at 500g, washed twice, and resuspended in washing solution containing 8% mannitol, 20 mM MES, 20 mM KCl, 10 mM CaCl2 and 100 µg ml−1 BSA at pH 5.8. Protoplasts were used immediately for single-cell RNA sequencing.",both,"Human gives the method category, GPT transcribes the full protocol (reagents, concentrations, timings) and matches the paper clause for clause. Both are faithful; they answer different questions about what dissociation_description is for. Schema does not define the intended granularity.",felix.shaw@earlham.ac.uk,2026-09-09
Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation,lib_prep,design_description,"Drop-seq libraries from pooled Arabidopsis root protoplasts; cDNA amplified 13–17 cycles, purified with 0.6× AMPure XP beads, and 1,200 pg DNA used for tagmentation.",Single-cell 3-prime gene-expression library generated from uninduced VND7 transgenic Arabidopsis whole-root protoplasts,both,"Human records the wet-lab parameters (13-17 cycles, 0.6x AMPure, 1200 pg tagmentation input), all confirmed present in the paper's methods; GPT records the experimental condition (uninduced VND7) which the human omits. Each captures what the other misses, so both are valid partial descriptions. Note: the human value was initially scored 'partial' only because the PDF hyphenates 'cy-cles' across a line break.",felix.shaw@earlham.ac.uk,2026-09-09
Cell-by-cell dissection of phloem development links a maturation gradient to cell speciali,study,workflow,FACS of fluorescent reporter lines ➜ Smart-seq scRNA-seq ➜ Monocle 2 pseudotime reconstruction ➜ machine-learning GRN inference ➜ validation by live imaging and perturbation assays.,"Root tips were protoplasted, fluorescent reporter–positive protophloem, metaphloem, and procambial cells were isolated by fluorescence-activated cell sorting, and individual cells were profiled using well-based Smart-seq RNA sequencing. Protophloem lineage cells were ordered in pseudotime with Monocle 2 and integrated with long-term confocal live-imaging data.",both,"Complementary halves of the same workflow: human covers the analysis pipeline (pseudotime, machine-learning GRN inference, perturbation validation), GPT covers the wet lab (protoplasting, the three sorted cell types, Smart-seq). Both verified in the paper: 'we modeled gene regulation using a machine-learning approach on the pseudotime-ordered 758 single-cell profiles' and 'resilient to these perturbations'. Human scored 'partial' largely because it uses acronyms (FACS, GRN) the paper never spells out; note the paper never says FACS at all, so GPT's expansion is equally an inference.",felix.shaw@earlham.ac.uk,2026-09-10
Cell-by-cell dissection of phloem development links a maturation gradient to cell speciali,sample,samp_collect_method,protoplasting ➜ single-cell sorting ➜ Smart-seq2 library prep,Root-tip protoplasting followed by fluorescence-activated sorting of individual fluorescent reporter-positive cells into wells,test,"GPT's value is fully supported by the paper. The human adds 'Smart-seq2', but the paper says only 'well-based smart-seq protocol' with no version number, so the human asserts a chemistry version the manuscript does not claim; Smart-seq and Smart-seq2 are distinct. GPT also correctly records sorting into wells.",felix.shaw@earlham.ac.uk,2026-09-10
Cell-by-cell dissection of phloem development links a maturation gradient to cell speciali,dissociation,dissociation_protocol_method,enzymatic protoplasting + FACS,Protoplasting followed by fluorescence-activated cell sorting,both,"Substantively identical: 'FACS' is 'fluorescence-activated cell sorting'. The human scored 'unsupported' purely for using the acronym, plus 'enzymatic', which protoplasting is by definition though the paper does not say so here. A clear instance of the acronym blind spot in the grounding check.",felix.shaw@earlham.ac.uk,2026-09-10
Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana,sample,samp_collect_method,excision with a sharp razor blade,Whole roots were excised from shoots around Zeitgeber Time 3 with a sharp razor blade and enzymatically digested for 1.5 h to generate protoplasts.,both,"Human's phrase is near-verbatim from the paper ('excised with a sharp razor blade'), scored partial only because it nominalises 'excised' to 'excision'. GPT adds the timing (Zeitgeber Time 3) and the digestion step. Both correct.",felix.shaw@earlham.ac.uk,2026-09-10
Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana,sample,env_medium,1xMS agar + 1 % sucrose,1× Murashige and Skoog medium with 1% sucrose and one layer of filter paper,both,"Same medium described correctly by both. GPT adds 'one layer of filter paper', which the paper states; the human adds 'agar', which it does not, MS plates being agar plates by convention. Accepted as expert inference: the audience for these manifests is necessarily expert and will read 'MS plates' as agar plates.",felix.shaw@earlham.ac.uk,2026-09-10
Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana,lib_prep,lib_construction_method,Gel bead-in-emulsion barcoding and 3′ end library construction following manufacturer instructions,Droplet-based single-cell 3′ gene-expression library preparation with cell barcodes and 10-base unique molecular identifiers,both,"Both describe 10x Chromium library construction correctly: 'gel bead-in-emulsion' is 10x's own term for the droplet mechanism GPT describes in generic language. GPT's 10-base UMI detail is stated in the paper; the human's vendor shorthand is not, but is accurate. The paper does not describe library construction in detail anywhere, so both are reconstructing from the platform rather than transcribing.",felix.shaw@earlham.ac.uk,2026-09-10
Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves,dissociation,dissociation_description,"Distal leaf 2 tissue was preincubated in 164 mM sorbitol and 2 mM L-cysteine, followed by enzymatic digestion. Protoplasts were washed in 0.4 M sorbitol, 20 mM MES, 20 mM KCl, 10 mM CaCl2, and 0.1% BSA and strained through a 70-µm filter.","Distal leaf 2 segments collected from six late-V2 B73 maize plants were stabilized with tape on the adaxial epidermis and scored every 5 mm from the midvein to the leaf edge. Tissue was vacuum-infiltrated for 10 minutes in pretreatment solution containing 2 mM L-cysteine and 164 mM sorbitol, gently agitated for an additional 20 minutes, and incubated for 3.5 hours with gentle agitation in enzyme solution containing 1.25% cellulase Onozuka RS, 1.25% cellulase Onozuka R-10, 0.4% pectolyase Y-23, 0.42% macerozyme R-10, 0.4 M sorbitol, 20 mM MES, 20 mM KCl, 10 mM CaCl2, 0.1% BSA, and 0.06% beta-mercaptoethanol. Released protoplasts were passed through 70-micrometer strainers, centrifuged at 100 × g, and repeatedly washed in cold solution containing 0.4 M sorbitol, 20 mM MES, 20 mM KCl, 10 mM CaCl2, and 0.1% BSA. The final suspension was adjusted to approximately 1,200 viable cells per microliter.",both,"Both are accurate transcriptions; the human records the core protocol (pretreatment, digestion, wash solution, all verbatim from the paper) and GPT transcribes it exhaustively (plant staging, taping, scoring, infiltration timing, full enzyme cocktail, centrifugation, final concentration). The human's flagged terms are expansions of the paper's own abbreviation 'l-cys'. Differences of this kind would be expected between two human annotators.",felix.shaw@earlham.ac.uk,2026-09-10
