human_file,gpt_file,paper_title,pdf_file,pdf_match_score
pca_manifest_satterlee_2023.xlsx,Satterlee et al. 2023 - A Wox3-patterning module organizes planar growth in grass leaves and ligules.xlsx,A Wox3-patterning module organizes planar growth in grass leaves and ligules,Satterlee et al. 2023 - A Wox3-patterning module organizes planar growth in grass leaves and ligules.pdf,1.0
pca_manifest_guillotin_2023.xlsx,Guillotin et al. 2023 - A pan-grass transcriptome reveals patterns of cellular divergence in crops.xlsx,A pan-grass transcriptome reveals patterns of cellular divergence in crops,Guillotin et al. 2023 - A pan-grass transcriptome reveals patterns of cellular divergence in crops.pdf,1.0
pca_manifest_zong_2022.xlsx,Zong et al. 2022 - A rice single cell transcriptomic atlas defines the developmental trajectories of rice floret and inflorescence meristems.xlsx,A rice single cell transcriptomic atlas defines the developmental trajectories of rice flo,Zong et al. 2022 - A rice single cell transcriptomic atlas defines the developmental trajectories of rice floret and inflorescence meristems.pdf,1.0
Roszak et al. 2021 - Cell-by-cell dissection of phloem development links a maturation gradient to cell specialization_FG.xlsx,Roszak et al. 2021 - Cell-by-cell dissection of phloem development links a maturation gradient to cell specialization.xlsx,Cell-by-cell dissection of phloem development links a maturation gradient to cell speciali,Roszak et al. 2021 - Cell-by-cell dissection of phloem development links a maturation gradient to cell specialization.pdf,1.0
Jean-Baptiste et al. 2019 - Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana.xlsx,Jean-Baptiste et al. 2019 - Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana.xlsx,Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana,Jean-Baptiste et al. 2019 - Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana.pdf,1.0
pca_manifest_Bezrutczyk_2021.xlsx,Bezrutczyk et al. 2021 - Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves.xlsx,Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves,Bezrutczyk et al. 2021 - Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves.pdf,1.0
pca_manifest_yan_2024.xlsx,Yan et al. 2024 - Evolution of plant cell-type-specificcis-regulatory elements.xlsx,Evolution of plant cell-type-specific cis-regulatory elements,Yan et al. 2024 - Evolution of plant cell-type-specificcis-regulatory elements.pdf,1.0
Kao et al. 2021 - Gene expression variation in Arabidopsis embryos at single-nucleus resolution.xlsx,Kao et al. 2021 - Gene expression variation in Arabidopsis embryos at single-nucleus resolution.xlsx,Gene expression variation in Arabidopsis embryos at single-nucleus resolution,Kao et al. 2021 - Gene expression variation in Arabidopsis embryos at single-nucleus resolution.pdf,1.0
pca_manifest_liu_2022.xlsx,Liu et al. 2022 - Identification of novel regulators required for early ... pment of vein pattern in the cotyledons by single-cell RNA-sequencing.xlsx,Identification of novel regulators required for early development of vein pattern in the c,Liu et al. 2022 - Identification of novel regulators required for early ... pment of vein pattern in the cotyledons by single-cell RNA-sequencing.pdf,1.0
pca_manifest_mendieta_2024.xlsx,Mendieta et al. 2024 - Investigating the cis-regulatory basis of C3 and C4 photosynthesis in grasses at single-cell resolution.xlsx,Investigating the cis-regulatory basis of C3 and C4 photosynthesis in grasses at single ce,Mendieta et al. 2024 - Investigating the cis-regulatory basis of C3 and C4 photosynthesis in grasses at single-cell resolution.pdf,1.0
pca_manifest_Turco_2019.xlsx,Turco et al. 2019 - Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation.xlsx,Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation,Turco et al. 2019 - Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation.pdf,1.0
pca_manifest_vukasinovic_2025.xlsx,Vukašinović et al. 2025 - Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells.xlsx,Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating,Vukašinović et al. 2025 - Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells.pdf,0.992
pca_manifest_Sun_2025.xlsx,Sun et al. 2024 - Progressive meristem and single-cell transcriptomes re ... ms underlying maize inflorescence development and sex differentiation.xlsx,Progressive meristem and single-cell transcriptomes reveal the regulatory mechanisms under,Sun et al. 2024 - Progressive meristem and single-cell transcriptomes re ... ms underlying maize inflorescence development and sex differentiation.pdf,1.0
pca_manifest_Xu_2021_final.xlsx,Xu et al. 2021 - Single-cell RNA sequencing of developing maize ears facilitates functional analysis and trait candidate gene discovery.xlsx,Single-cell RNA sequencing of developing maize ears facilitates functional analysis and tr,Xu et al. 2021 - Single-cell RNA sequencing of developing maize ears facilitates functional analysis and trait candidate gene discovery.pdf,1.0
pca_manifest_cao_2023.xlsx,Cao et al. 2023 - Single-cell RNA sequencing profiles reveal cell type-s ... ional regulation networks conditioning fungal invasion in maize roots.xlsx,Single-cell RNA sequencing profiles reveal cell typespecific transcriptional regulation ne,Cao et al. 2023 - Single-cell RNA sequencing profiles reveal cell type-s ... ional regulation networks conditioning fungal invasion in maize roots.pdf,1.0
Wang et al. 2021 - Single-cell-type transcriptomic analysis reveals dist ... expression profiles in wheat guard cells in response to abscisic acid_FG.xlsx,Wang et al. 2021 - Single-cell-type transcriptomic analysis reveals dist ... expression profiles in wheat guard cells in response to abscisic acid.xlsx,Single-cell-type transcriptomic analysis reveals distinct gene expression profiles in whea,Wang et al. 2021 - Single-cell-type transcriptomic analysis reveals dist ... expression profiles in wheat guard cells in response to abscisic acid.pdf,1.0
pca_manifest_conde_2022.xlsx,Conde et al. 2022 - Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in Populus.xlsx,Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in ,Conde et al. 2022 - Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in Populus.pdf,1.0
Denyer et al. 2019 - Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing_FG.xlsx,Denyer et al. 2019 - Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing.xlsx,Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Thro,Denyer et al. 2019 - Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing.pdf,1.0
pca_manifest_lyu_2025.xlsx,Lyu et al. 2025 - The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondary growth.xlsx,The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondar,Lyu et al. 2025 - The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondary growth.pdf,1.0
pca_manifest_dorrity_2020.xlsx,Dorrity et al. 2021 - The regulatory landscape of Arabidopsis thaliana roots at single-cell resolution.xlsx,The regulatory landscape of Arabidopsis thaliana roots at single-1 cell resolution,Dorrity et al. 2021 - The regulatory landscape of Arabidopsis thaliana roots at single-cell resolution.pdf,1.0
Misra et al. 2019 - Transcriptomics of Arabidopsis sperm cells at single-cell resolution_FG.xlsx,Misra et al. 2019 - Transcriptomics of Arabidopsis sperm cells at single-cell resolution.xlsx,Transcriptomics of Arabidopsis sperm cells at single-cell resolution,Misra et al. 2019 - Transcriptomics of Arabidopsis sperm cells at single-cell resolution.pdf,1.0
